# variant	form	seed	destination
#
# variant     all | none | php | php-config | ts | ts-config | github — `all` applies everywhere, the rest match
#             the repository's declared variant.
# form        exact       byte-identical
#             prefix:N    the first N lines are the seed; the rest is per-repo history
#             masked:RE   identical after RE is blanked on both sides
#
# Excluded by design, and recorded here so the absence is not read as an oversight:
#   .release-please-manifest.json   per-repo state, not a seed
#   version.txt                     per-repo state; `release-type: simple` writes it, and it
#                                   exists only in variants with no package manifest to hold
#                                   the version — a prose repository's manifest is one line
#   CHANGELOG.md                    written by the Release PR, never seeded
#   .coverage-floor                 per-repo state, ratcheted
#   CLAUDE.md                       seeded once from templates/, then per-repo content
#
# .gitattributes is per-variant, not `all`: its export-ignore list names the tool
# configs of one language, and a package that SHIPS configuration must export the
# very files a library hides. One `all` copy could only be right for one of them.
all	exact	all/.editorconfig	.editorconfig
all	exact	all/CODEOWNERS	.github/CODEOWNERS
all	exact	all/LICENSE	LICENSE
all	exact	all/.githooks/pre-push	.githooks/pre-push
all	prefix:4	all/.git-blame-ignore-revs	.git-blame-ignore-revs
none	exact	none/.gitattributes	.gitattributes
none	exact	none/.gitignore	.gitignore
none	exact	none/dependabot.yml	.github/dependabot.yml
none	masked:@[0-9]+\.[0-9]+\.[0-9]+	none/ci.yml	.github/workflows/ci.yml
none	exact	none/release-please-config.json	release-please-config.json
none	masked:@[0-9]+\.[0-9]+\.[0-9]+	none/release.yml	.github/workflows/release.yml
github	exact	github/.gitattributes	.gitattributes
github	exact	github/.gitignore	.gitignore
github	exact	github/dependabot.yml	.github/dependabot.yml
github	masked:@[0-9]+\.[0-9]+\.[0-9]+	github/ci.yml	.github/workflows/ci.yml
github	exact	github/release-please-config.json	release-please-config.json
github	masked:@[0-9]+\.[0-9]+\.[0-9]+	github/release.yml	.github/workflows/release.yml
php	exact	php/.gitattributes	.gitattributes
php	exact	php/.gitignore	.gitignore
php	exact	php/dependabot.yml	.github/dependabot.yml
php	masked:@[0-9]+\.[0-9]+\.[0-9]+	php/ci.yml	.github/workflows/ci.yml
php	exact	php/release-please-config.json	release-please-config.json
php	masked:@[0-9]+\.[0-9]+\.[0-9]+	php/release.yml	.github/workflows/release.yml
php-config	exact	php-config/.gitattributes	.gitattributes
php-config	exact	php/.gitignore	.gitignore
php-config	exact	php/dependabot.yml	.github/dependabot.yml
php-config	masked:@[0-9]+\.[0-9]+\.[0-9]+	php-config/ci.yml	.github/workflows/ci.yml
php-config	exact	php/release-please-config.json	release-please-config.json
php-config	masked:@[0-9]+\.[0-9]+\.[0-9]+	php/release.yml	.github/workflows/release.yml
ts-config	exact	ts-config/.gitattributes	.gitattributes
ts-config	exact	ts-config/.gitignore	.gitignore
ts-config	exact	ts-config/.prettierignore	.prettierignore
ts-config	exact	ts-config/dependabot.yml	.github/dependabot.yml
ts-config	masked:@[0-9]+\.[0-9]+\.[0-9]+	ts-config/ci.yml	.github/workflows/ci.yml
ts-config	exact	ts/release-please-config.json	release-please-config.json
ts-config	masked:@[0-9]+\.[0-9]+\.[0-9]+	ts/release.yml	.github/workflows/release.yml
ts	exact	ts/.gitattributes	.gitattributes
ts	exact	ts/.gitignore	.gitignore
ts	exact	ts/.prettierignore	.prettierignore
ts	exact	ts/dependabot.yml	.github/dependabot.yml
ts	masked:@[0-9]+\.[0-9]+\.[0-9]+	ts/ci.yml	.github/workflows/ci.yml
ts	exact	ts/release-please-config.json	release-please-config.json
ts	masked:@[0-9]+\.[0-9]+\.[0-9]+	ts/release.yml	.github/workflows/release.yml
